"tetrabutylammonium borohydride Molar Composition 
[%]","tetrabutylammonium borohydride Liquidus Temperature 
[K]","lithium borohydride Molar Composition 
[%]","lithium borohydride Liquidus Temperature 
[K]","Solid-Liquid Equilibrium Temperature 
[K]","Adiabatic Flame Temperature 
[K]","Characteristic Velocity 
[m/s]","Specific Impulse 
[s]"
0.7,368.98978203563274,0.3,492.298381295184,492.298381295184,2342.39249604006,1270.5999178124832,220.03534192087344
0.69,367.71411218030335,0.31,495.7748763119547,495.7748763119547,2342.2983245500113,1270.5809852234424,220.05273421876416
0.68,366.42880181745426,0.32,499.18809628270594,499.18809628270594,2342.2016611080626,1270.5615515112115,220.0706285541486
0.67,365.1336026916552,0.33,502.541428764003,502.541428764003,2342.102435998944,1270.541609174339,220.08899218931273
0.66,363.82825641867834,0.34,505.8379841106543,505.8379841106543,2342.0004893251844,1270.5211143608824,220.10786425441978
0.65,362.5124939101558,0.35,509.0806256349021,509.0806256349021,2341.8957653883026,1270.5000678102174,220.1272393004598
0.64,361.18603475608904,0.36,512.271995718943,512.271995718943,2341.788077510531,1270.4784171093986,220.14720621353607
0.63,359.84858656140693,0.37,515.4145385206592,515.4145385206592,2341.6773413945702,1270.456153858846,220.1677130584466
0.62,358.49984423236094,0.38,518.5105197967698,518.5105197967698,2341.563456942808,1270.4332646085084,220.1887804058239
0.61,357.1394892080828,0.39,521.5620442753323,521.5620442753323,2341.446228913739,1270.409697968736,220.21050054897142
0.6,355.76718863211454,0.4,524.5710709354282,524.5710709354282,2341.325534704605,1270.384090868338,220.232833729133
0.59,354.38259445812747,0.41,527.5394264920109,527.5394264920109,2341.2012343351175,1270.3589941329953,220.2558099986947
0.58,352.98534248338564,0.42,530.4688173352561,530.4688173352561,2341.0731244639674,1270.3331185610234,220.27946246747183
0.57,351.5750513027532,0.43,533.3608401340294,533.3608401340294,2340.9410848418033,1270.3067688958722,220.3038218149095
0.56,350.1513211751876,0.44,536.2169912804509,536.2169912804509,2340.80485342185,1270.2792668032114,220.32890662050517
0.55,348.7137327936802,0.45,539.0386753256186,539.0386753256186,2340.6641799188774,1270.2496773056525,220.35474871403554
0.54,347.2618459484955,0.46,541.8272125342249,541.8272125342249,2340.519056401759,1270.2202988687293,220.38138352947703
0.53,345.7951980722749,0.47,544.5838456672109,544.5838456672109,2340.369140404885,1270.1899407000667,220.40881494313882
0.52,344.31330265411157,0.48,547.3097460860544,547.3097460860544,2340.2141685671545,1270.1585436978621,220.43712515422357
0.51,342.81564750801255,0.49,550.0060192592312,550.0060192592312,2340.0539590903895,1270.1260856368144,220.46635843436124
0.5,341.3016928792213,0.5,552.6737097403836,552.6737097403836,2339.888173427631,1270.092484098087,220.4964947147927
0.49,339.7708693696254,0.51,555.3138056784136,555.3138056784136,2339.716548138467,1270.05769057687,220.5275756663355
0.48,338.2225756608673,0.52,557.927242911815,557.927242911815,2339.5387342463937,1270.0216258009946,220.55972290007804
0.47,336.6561760107436,0.53,560.514908692817,560.514908692817,2339.3544107998873,1269.9842268926686,220.59287396753643
0.46,335.0709974949435,0.54,563.0776450811542,563.0776450811542,2339.163241075188,1269.9454298023516,220.62718727233366
0.45,333.4663269620386,0.55,565.6162520423389,565.6162520423389,2338.964788787607,1269.9051343931576,220.66260049540077
0.44,331.8414076647806,0.56,568.1314902810637,568.1314902810637,2338.7586695902805,1269.8632684521713,220.6992804334956
0.43,330.1954355250431,0.57,570.6240838366974,570.6240838366974,2338.544426805374,1269.8197365187045,220.73719948911173
0.42,328.52755498298177,0.58,573.0947224646723,573.0947224646723,2338.321524188645,1269.7744175217044,220.77644375999517
0.41,326.8368543729644,0.59,575.5440638248051,575.5440638248051,2338.0894953911934,1269.7272276677602,220.81705014342805
0.4,325.1223607592689,0.6,577.9727354952129,577.9727354952129,2337.847738170152,1269.6780357325665,220.85914290285112
0.39,323.3830341531185,0.61,580.3813368283932,580.3813368283932,2337.595622332039,1269.6267088860711,220.90276418743963
0.38,321.6177610189025,0.62,582.7704406642227,582.7704406642227,2337.3324783564635,1269.5730988209264,220.9479903802552
0.37,319.82534696087396,0.63,585.1405949130343,585.1405949130343,2337.0575845046305,1269.5170776971604,220.99490243908173
0.36,318.00450846155167,0.64,587.4923240205292,587.4923240205292,2336.7700731451646,1269.4584415217605,221.04358369383834
0.35,316.1538635186166,0.65,589.8261303250525,589.8261303250525,2336.46911149759,1269.397025508433,221.09415628553054
0.34,314.27192099717035,0.66,592.1424953166763,592.1424953166763,2336.153764254592,1269.3326392532674,221.14662678631763
0.33,312.3570684773932,0.67,594.4418808065719,594.4418808065719,2335.822892540398,1269.2650267946626,221.20121406438443
0.32,310.40755833203696,0.68,596.7247300143067,596.7247300143067,2335.475405890671,1269.1939736204572,221.25790721804603
0.31,308.4214917113794,0.69,598.9914685799497,598.9914685799497,2335.1099564292344,1269.1191822996022,221.3169084824536
0.3,306.39680004205155,0.7,601.2425055071993,601.2425055071993,2334.7251829145507,1269.0403769340949,221.37834340226243
0.29,304.3312235562371,0.71,603.4782340431514,603.4782340431514,2334.3194740354197,1268.9572084271538,221.44223824290884
0.28,302.22228625342905,0.72,605.6990324997977,605.6990324997977,2333.8910821823233,1268.8693058758925,221.5088243152106
0.27,300.0672665504303,0.73,607.905265021871,607.905265021871,2333.4380313810834,1268.7762431813564,221.57820611739643
0.26,297.86316268600166,0.74,610.0972823052249,610.0972823052249,2332.958215067076,1268.6775852910512,221.65053108115467
0.25,295.6066516998272,0.75,612.2754222695644,612.2754222695644,2332.4491246464722,1268.5727821759178,221.72594820055718
0.24,293.2940404807758,0.76,614.4400106889943,614.4400106889943,2331.9080426072137,1268.4612568387845,221.80461007352025
0.23,290.9212069478088,0.77,616.5913617835544,616.5913617835544,2331.331901088093,1268.3423559203256,221.88667618552586
0.22,288.4835288467506,0.78,618.729778774627,618.729778774627,2330.7170798444304,1268.2152769729173,221.97229512413466
0.21,285.975796857148,0.79,620.8555544068628,620.8555544068628,2330.0596952218475,1268.079138251814,222.0616257065113
0.2,283.3921076165095,0.8,622.9689714390366,622.9689714390366,2329.355081441602,1267.933022226207,222.1548057345099
0.19,280.7257307507868,0.81,625.0703031060538,625.0703031060538,2328.5980699780994,1267.7757609913706,222.25196735569045
0.18,277.9689418461243,0.82,627.1598135541325,627.1598135541325,2327.78262340362,1267.6060326909806,222.35320032157364
0.17,275.1128101902273,0.83,629.2377582510328,629.2377582510328,2326.901707416138,1267.4222831491368,222.45858357030085
0.16,272.14692554729055,0.84,631.3043843730431,631.3043843730431,2325.9471294440264,1267.2226946264486,222.56811289690123
0.15,269.05904138597833,0.85,633.3599311703044,633.3599311703044,2324.9093981978367,1267.0051718950695,222.6808849914071
0.14,265.8346014804415,0.86,635.4046303119242,635.4046303119242,2323.777208250841,1266.7671841749773,222.79819483062423
0.13,262.4561002820483,0.87,637.4387062122206,637.4387062122206,2322.5371555045417,1266.5055349114464,222.9189879761524
0.12,258.9022007000439,0.88,639.4623763393355,639.4623763393355,2321.1731810351594,1266.2169373210797,223.04266237793263
0.11,255.14648814502712,0.89,641.4758515073556,641.4758515073556,2319.665988568424,1265.8968290303776,223.1683019039882
0.1,251.15566185779045,0.9,643.4793361530013,643.4793361530013,2317.992035805202,1265.539796440871,223.29455370892208
0.09,246.8868232148295,0.91,645.4730285978603,645.4730285978603,2316.122428509423,1265.1391374094658,223.4194906356194
0.08,242.28325043396478,0.92,647.4571212970712,647.4571212970712,2314.0213194317157,1264.6864490307219,223.54045197510348
0.07,237.2674991854284,0.93,649.4318010752978,649.4318010752978,2311.643712865056,1264.1710469417849,223.76113117502936
0.06,231.72946137343968,0.94,651.3972493507736,651.3972493507736,2308.932584631251,1263.5793353835854,224.29372001997126
0.05,225.5040983858106,0.95,653.3536423481385,653.3536423481385,2305.814470606702,1262.8929705606718,224.7484794039317
0.04,218.32558715812735,0.96,655.3011513007433,655.3011513007433,2302.1940552947162,1262.0880786400655,225.00930160191155
0.03,209.71871045758405,0.97,657.239942643046,657.239942643046,2297.9463564963116,1261.132007873147,225.28222719076356
0.02,198.67957998082645,0.98,659.1701781936808,659.1701781936808,2292.906977603873,1259.9797768858311,225.51978828265953
0.01,182.2773683421353,0.99,661.0920153297475,661.0920153297475,2286.86495808569,1258.5646527500244,225.69909540235352
0.0,0.0,1.0,663.0056071528203,663.0056071528203,2279.583140976042,1256.7903064383834,225.84919729350239
