"tetrabutylammonium borohydride Molar Composition 
[%]","tetrabutylammonium borohydride Liquidus Temperature 
[K]","tetrabutylammonium chloride Molar Composition 
[%]","tetrabutylammonium chloride Liquidus Temperature 
[K]","Solid-Liquid Equilibrium Temperature 
[K]","Adiabatic Flame Temperature 
[K]","Characteristic Velocity 
[m/s]","Specific Impulse 
[s]"
0.8,381.4224114919853,0.2,261.2517603416258,381.4224114919853,2338.220843078591,1268.4439037317622,219.1127678720193
0.79,380.23088571212986,0.21,262.60862507797367,380.23088571212986,2337.906613843488,1268.3137733837457,219.0834065900233
0.78,379.0317441984096,0.22,263.91554771033725,379.0317441984096,2337.5918409994956,1268.1834232422923,219.05401965906773
0.77,377.8248154480418,0.23,265.17657703861494,377.8248154480418,2337.276599879954,1268.052884645039,219.02458699338442
0.76,376.60992188183167,0.24,266.39527314752655,376.60992188183167,2336.960846327166,1267.9221392878637,218.99511017946955
0.75,375.3868795449185,0.25,267.5747841144778,375.3868795449185,2336.644575986163,1267.7911854007325,218.96558681382672
0.74,374.1554977885505,0.26,268.71790811961125,374.1554977885505,2336.327824536965,1267.660037842303,218.9360210050306
0.73,372.91557893141055,0.27,269.82714418560323,372.91557893141055,2336.010547655012,1267.5286782442947,218.90640803699495
0.72,371.66691789887716,0.28,270.9047339690584,371.66691789887716,2335.6927810952743,1267.3971214949784,218.87675204700284
0.71,370.4093018384541,0.29,271.95269644215074,370.4093018384541,2335.3744804214734,1267.2653491824135,218.84705002612438
0.7,369.1425097094321,0.3,272.9728568755036,369.1425097094321,2335.0557216946468,1267.1333929258128,218.81730541375978
0.69,367.8663118446589,0.31,273.9668712159479,367.8663118446589,2334.7364551305864,1267.0018196336725,218.78751544341503
0.68,366.5804694820868,0.32,274.93624671467956,366.5804694820868,2334.4166467613777,1266.86943886113,218.7576801266455
0.67,365.2847342635307,0.33,275.8823594808339,365.2847342635307,2334.0963272699337,1266.7368522346726,218.72780042322313
0.66,363.9788476978155,0.34,276.8064694973486,363.9788476978155,2333.7754923585685,1266.6040580118581,218.69787607582285
0.65,362.66254058519553,0.35,277.7097335293205,362.66254058519553,2333.4541377201876,1266.471054446174,218.66792816846896
0.64,361.33553239960844,0.36,278.59321627200455,361.33553239960844,2333.132299550361,1266.3378565990133,218.63789658821955
0.63,359.9975306249588,0.37,279.4579000204338,359.9975306249588,2332.809892547196,1266.2044291158431,218.607839028312
0.62,358.64823004121706,0.38,280.304693091118,358.64823004121706,2332.4869654656372,1266.070142986036,218.57773539346428
0.61,357.2873119556606,0.39,281.13443718527265,357.2873119556606,2332.1635693158505,1265.9363012872868,218.54759955327918
0.6,355.9144433740593,0.4,281.94791385017953,355.9144433740593,2331.839631952703,1265.8022415521853,218.5174110200966
0.59,354.5292761060256,0.41,282.7458501687975,354.5292761060256,2331.515149013769,1265.6679620172263,218.48715747029235
0.58,353.1314457980772,0.42,283.52892378627126,353.1314457980772,2331.190197713594,1265.533494748976,218.4568833732715
0.57,351.720570887212,0.43,284.2977673644837,351.720570887212,2330.864692276302,1265.3988042537883,218.42656474894937
0.56,350.29625146693127,0.44,285.0529725414512,350.29625146693127,2330.538628304259,1265.2638886762463,218.39620171689384
0.55,348.8580680566722,0.45,285.7950934605484,348.8580680566722,2330.2120832698665,1265.1287802249503,218.36579920654495
0.54,347.40558026449304,0.46,286.5246499247717,347.40558026449304,2329.8849710835643,1264.9934432451093,218.3353481614635
0.53,345.9383253315751,0.47,287.24213022312614,345.9383253315751,2329.557369383933,1264.8579099706424,218.30486062332324
0.52,344.455816545641,0.48,287.94799366943573,344.455816545641,2329.229232950139,1264.722161696407,218.27432662534702
0.51,342.9575415087003,0.49,288.64267288819246,342.9575415087003,2328.9005163634806,1264.586179643563,218.2437697328093
0.5,341.44296024258745,0.5,289.32657587727374,341.44296024258745,2328.5712975172733,1264.4499961408628,218.21315287786663
0.49,339.9115031135121,0.51,290.0000878733179,339.9115031135121,2328.2415722385736,1264.3136095019206,218.18247618536748
0.48,338.3625685542263,0.52,290.66357304212056,338.3625685542263,2327.9112538160985,1264.1769838406706,218.15177596028414
0.47,336.7955205593883,0.53,291.3173760135014,336.7955205593883,2327.580420398309,1264.0401515850947,218.1210534481339
0.46,335.20968592615884,0.54,291.9618232776059,335.20968592615884,2327.2490677843075,1263.9031110385868,218.0902727473375
0.45,333.60435120793056,0.55,292.59722445747417,333.60435120793056,2326.9171503574303,1263.7658433485497,218.0594273823553
0.44,331.9787593442318,0.56,293.2238734708857,331.9787593442318,2326.584705209892,1263.6283639287212,218.02855778049272
0.43,330.33210592412206,0.57,293.84204959291037,330.33210592412206,2326.2516866115593,1263.4906538831613,217.99765027324847
0.42,328.6635350336344,0.58,294.4520184292408,328.6635350336344,2325.918173279523,1263.352745867949,217.96764746521558
0.41,326.97213462979124,0.59,295.0540328091993,326.97213462979124,2325.5840779168793,1263.2146037834693,217.93688064321722
0.4,325.25693137416494,0.6,295.6483336062952,325.25693137416494,2325.249437766532,1263.0762430884247,217.90606576459808
0.39,323.5168848475195,0.61,296.23515049331434,323.5168848475195,2324.9142485618013,1262.9376620628343,217.87520288458845
0.38,321.75088105334356,0.62,296.8147026381501,321.75088105334356,2324.5785060266035,1262.7988589857414,217.8442920797775
0.37,319.9577251015203,0.63,297.38719934590324,319.9577251015203,2324.242205875445,1262.6598321320612,217.81333344898195
0.36,318.1361329433112,0.64,297.9528406521854,318.1361329433112,2323.9053856465016,1262.5205970869374,217.78232992634125
0.35,316.28472200437596,0.65,298.5118178720352,316.28472200437596,2323.5679992970254,1262.3811348401728,217.75127885264473
0.34,314.402000532624,0.66,299.06431410840025,314.402000532624,2323.2300425130534,1262.2414436603847,217.72018042224104
0.33,312.48635544084283,0.67,299.61050472372716,312.48635544084283,2322.891510970947,1262.101521808411,217.68903485051828
0.32,310.536038378428,0.68,300.15055777784664,310.536038378428,2322.5524423612633,1261.961384928372,217.65784518154643
0.31,308.5491497097092,0.69,300.68463443502185,308.5491497097092,2322.212832484172,1261.821031331896,217.62661170076962
0.3,306.5236200051189,0.7,301.2128893427452,306.5236200051189,2321.872635011473,1261.6804419051023,217.59533195975834
0.29,304.45718856150586,0.71,301.7354709846196,304.45718856150586,2321.531845581267,1261.5396148982154,217.56400633570132
0.28,302.34737835352774,0.72,302.2525220094368,302.34737835352774,2321.1905442508105,1261.3985834722496,217.5326408379985
0.27,300.19146667150335,0.73,302.764179538365,302.764179538365,2320.848642401221,1261.2573110307276,217.50123037749577
0.26,297.9864505117419,0.74,303.2705754519821,303.2705754519821,2320.506177951543,1261.115813307797,217.4697782933529
0.25,295.7290055385287,0.75,303.7718366587308,303.7718366587308,2320.1631466446916,1260.9741925394546,217.43828637392858
0.24,293.4154371121262,0.76,304.2680853462289,304.2680853462289,2319.8195866195038,1260.8322522130993,217.40675571864324
0.23,291.0416214453347,0.77,304.75943921674053,304.75943921674053,2319.475408836485,1260.6900640005115,217.3751827808285
0.22,288.6029343707928,0.78,305.2460117079993,305.2460117079993,2319.130651367369,1260.547643709428,217.34300497333734
0.21,286.0941644118698,0.79,305.72791220047026,305.72791220047026,2318.7853524655657,1260.4050072285727,217.31135615421869
0.2,283.50940576262775,0.8,306.2052462120439,306.2052462120439,2318.4394227756457,1260.2621177350197,217.27967366681852
0.19,280.84192526326524,0.81,306.67811558107263,306.67811558107263,2318.0929431286795,1260.1190087798843,217.24795214722522
0.18,278.08399530273334,0.82,307.1466186385816,307.1466186385816,2317.745909343783,1259.9756788691896,217.21620056162823
0.17,275.2266814722475,0.83,307.610850370419,307.610850370419,2317.398274489726,1259.832109021938,217.18441618086985
0.16,272.2595692271268,0.84,308.07090257004745,308.07090257004745,2317.050034222579,1259.6882982031386,217.152600817453
0.15,269.17040696710325,0.85,308.5268639826213,308.5268639826213,2316.701227025447,1259.5442637750214,217.12076076510795
0.14,265.9446324413952,0.86,308.97882044094314,308.97882044094314,2316.351848679087,1259.4000069357485,217.08889843761844
0.13,262.5647328556913,0.87,309.426854993847,309.426854993847,2316.001894954723,1259.2555320004444,217.05701649931456
0.12,259.00936228765295,0.88,309.87104802751116,309.87104802751116,2315.651318633217,1259.110832273408,217.02511408258954
0.11,255.2520952146795,0.89,310.31147738016705,310.31147738016705,2315.3001583518885,1258.965951348843,216.99319901076942
0.1,251.2596170941264,0.9,310.7482184506323,310.7482184506323,2314.9484098542116,1258.8209485495433,216.9612755142938
0.09,246.98901154642306,0.91,311.1813443010671,311.1813443010671,2314.5960688751175,1258.6759604159668,216.92934820237957
0.08,242.38353331181355,0.92,311.61092575431934,311.61092575431934,2314.2431301166475,1258.5293865654992,216.89743709393673
0.07,237.36570600573341,0.93,312.0370314862013,312.0370314862013,2313.8895912539692,1258.3834555347373,216.86554619779628
0.06,231.82537595782486,0.94,312.4597281130111,312.4597281130111,2313.5354470342454,1258.2372835606293,216.83366734567647
0.05,225.59743624516452,0.95,312.8790802745948,312.8790802745948,2313.1806658809405,1258.09213939412,216.80181985347153
0.04,218.41595377715285,0.96,313.295150713217,313.295150713217,2312.825415790863,1257.9454670356588,216.77004789694462
0.03,209.80551462496143,0.97,313.7080003484975,313.7080003484975,2312.469460961404,1257.7987739330365,216.7383705339946
0.02,198.76181496824123,0.98,314.1176883486443,314.1176883486443,2312.1129272676294,1257.6563790598861,216.7068091287622
0.01,182.35281432955418,0.99,314.52427219820515,314.52427219820515,2311.7557695057017,1257.503849921624,216.67558004136097
0.0,0.0,1.0,314.9278077625393,314.9278077625393,2311.3979757494462,1257.413004372081,216.64453664074415
