"tetrabutylammonium chloride Molar Composition 
[%]","tetrabutylammonium chloride Liquidus Temperature 
[K]","ammonia borane Molar Composition 
[%]","ammonia borane Liquidus Temperature 
[K]","Solid-Liquid Equilibrium Temperature 
[K]","Adiabatic Flame Temperature 
[K]","Characteristic Velocity 
[m/s]","Specific Impulse 
[s]"
0.52,290.66357304212056,0.48,390.5837794365476,390.5837794365476,2316.9299786785805,1261.6251619087523,217.92732490871688
0.51,290.0000878733179,0.49,392.05954221949776,392.05954221949776,2317.138092716085,1261.7849291938435,217.97730283229708
0.5,289.32657587727374,0.5,393.51634597169925,393.51634597169925,2317.3532034316845,1261.9499883935541,218.02893521148022
0.49,288.64267288819246,0.51,394.9548454567693,394.9548454567693,2317.5756024535244,1262.1194561692714,218.08236689750206
0.48,287.94799366943573,0.52,396.37566039887747,396.37566039887747,2317.8057020780775,1262.2958307998838,218.13767211672635
0.47,287.24213022312614,0.53,397.77937799666654,397.77937799666654,2318.043944353805,1262.4783508073156,218.19491616303534
0.46,286.5246499247717,0.54,399.1665552128106,399.1665552128106,2318.290725366769,1262.6673247063702,218.2542167824324
0.45,285.7950934605484,0.55,400.53772086301126,400.53772086301126,2318.546477710316,1262.8624987656654,218.31568052978906
0.44,285.0529725414512,0.56,401.8933775253224,401.8933775253224,2318.811811257279,1263.0654633063994,218.37942678061808
0.43,284.2977673644837,0.57,403.2340032881836,403.2340032881836,2319.0872094482793,1263.2760122660547,218.4455767983774
0.42,283.52892378627126,0.58,404.56005335337494,404.56005335337494,2319.3733037268894,1263.4945985883223,218.5142468149934
0.41,282.7458501687975,0.59,405.8719615082242,405.8719615082242,2319.6706117512604,1263.7216421182063,218.58561107137652
0.4,281.94791385017953,0.6,407.17014147976323,407.17014147976323,2319.979940049107,1263.9576989922966,218.65983307660187
0.39,281.13443718527265,0.61,408.4549881821077,408.4549881821077,2320.3019771755794,1264.203293426664,218.73701508479078
0.38,280.304693091118,0.62,409.7268788670908,409.7268788670908,2320.637516128594,1264.4590122480772,218.81741302575716
0.37,279.4579000204338,0.63,410.98617418709074,410.98617418709074,2320.9874519596906,1264.7255058670303,218.90114471474237
0.36,278.59321627200455,0.64,412.23321917804043,412.23321917804043,2321.352843561809,1265.0008024743784,218.98853047621176
0.35,277.7097335293205,0.65,413.4683441697658,413.4683441697658,2321.7344832875815,1265.290684588226,219.0796545792147
0.34,276.8064694973486,0.66,414.691865630059,414.691865630059,2322.1336530073786,1265.5935937670706,219.17485908297414
0.33,275.8823594808339,0.67,415.90408694824174,415.90408694824174,2322.5515335257687,1265.9104038118367,219.27440117454455
0.32,274.93624671467956,0.68,417.10529916339334,417.10529916339334,2322.9895261836086,1266.2421151686679,219.3785429553798
0.31,273.9668712159479,0.69,418.2957816419073,418.2957816419073,2323.449157477538,1266.5898189505795,219.48760393597857
0.3,272.9728568755036,0.7,419.4758027085868,419.4758027085868,2323.931982031769,1266.9546606483598,219.60196764296927
0.29,271.95269644215074,0.71,420.6456202350802,420.6456202350802,2324.4397878084683,1267.3369644683619,219.72202461933952
0.28,270.9047339690584,0.72,421.80548218910315,421.80548218910315,2324.974658059559,1267.7393249440263,219.84813166544558
0.27,269.82714418560323,0.73,422.9556271475674,422.9556271475674,2325.538901803288,1268.1638911710788,219.98082666482424
0.26,268.71790811961125,0.74,424.09628477644975,424.09628477644975,2326.134950661778,1268.611709740734,220.12056555880633
0.25,267.5747841144778,0.75,425.22767627997825,425.22767627997825,2326.7655419455646,1269.0847271133616,220.2679308757108
0.24,266.39527314752655,0.76,426.3500148214804,426.3500148214804,2327.433855198354,1269.5851624447757,220.42355300483777
0.23,265.17657703861494,0.77,427.4635059180293,427.4635059180293,2328.143363304975,1270.1154567747672,220.5881059033847
0.22,263.91554771033725,0.78,428.56834781084024,428.56834781084024,2328.8980065488904,1270.6783601414656,220.76240677907484
0.21,262.60862507797367,0.79,429.6647318131976,429.6647318131976,2329.702321206595,1271.277002049257,220.94730441489895
0.2,261.2517603416258,0.8,430.7528426375441,430.7528426375441,2330.5614279051074,1271.9149054186814,221.1437966954702
0.19,259.84032032413654,0.81,431.832858703224,431.832858703224,2331.481159729881,1272.5960627922275,221.35291674327357
0.18,258.36896689228166,0.82,432.9049524262507,432.9049524262507,2332.468191548642,1273.3250170077713,221.57596251825512
0.17,256.8315031747417,0.83,433.9692904923533,433.9692904923533,2333.53036167044,1274.107028104035,221.81432025290644
0.16,255.22067486459613,0.84,435.02603411445955,435.02603411445955,2334.6766189537857,1274.9480869111512,222.06958674176465
0.15,253.52790973924152,0.85,436.0753392756745,436.0753392756745,2335.917594720198,1275.8552002900597,222.34358884803532
0.14,251.74297059423859,0.86,437.1173569587347,437.1173569587347,2337.265615588643,1276.8364465083846,222.63844146235212
0.13,249.8534842508007,0.87,438.1522333628392,438.1522333628392,2338.7354548212734,1277.901353379269,222.9565220274793
0.12,247.84428890987263,0.88,439.1801101086878,439.1801101086878,2340.344734820193,1279.0612848318044,223.30078458012588
0.11,245.69650786010402,0.89,440.20112443249684,440.20112443249684,2342.1147202710877,1280.329288011966,223.6740817658201
0.1,243.38619772347207,0.9,441.2154093697001,441.2154093697001,2344.071246420024,1281.7214025681083,224.0806731543994
0.09,240.88231025722075,0.91,442.2230939289935,442.2230939289935,2346.246360061699,1283.25755868251,224.52492720543768
0.08,238.1434968670887,0.92,443.224303257331,443.224303257331,2348.6799121779836,1284.9598508368465,225.01219936677737
0.07,235.1128555069306,0.93,444.2191587964357,444.2191587964357,2351.422681197468,1286.8579351562857,225.54891393881474
0.06,231.70877079796242,0.94,445.20777843134937,445.20777843134937,2354.540163682413,1288.9880182942566,226.14281411208717
0.05,227.80769005610807,0.95,446.19027663150507,446.19027663150507,2358.1187249641225,1291.3954785231163,226.8033140835314
0.04,223.2083115830254,0.96,447.1667645847753,447.1667645847753,2362.2753998219823,1294.1390496638614,227.54200259830225
0.03,217.54578950753947,0.97,448.13735032491337,448.13735032491337,2367.1738934137197,1297.2954802444965,228.37331578893424
0.02,210.03589634006792,0.98,449.10213885278057,449.10213885278057,2373.0524300609563,1300.9678134133499,229.31455934070388
0.01,198.33155783638398,0.99,450.0612322517204,450.0612322517204,2380.2777947056566,1305.296584179012,230.39077438085582
0.0,0.0,1.0,451.01472979742033,451.01472979742033,2389.4585317811834,1310.5053818350932,231.63269607546204
