"tetrabutylammonium borohydride Molar Composition 
[%]","tetrabutylammonium borohydride Liquidus Temperature 
[K]","ammonia borane Molar Composition 
[%]","ammonia borane Liquidus Temperature 
[K]","Solid-Liquid Equilibrium Temperature 
[K]","Adiabatic Flame Temperature 
[K]","Characteristic Velocity 
[m/s]","Specific Impulse 
[s]"
0.57,351.720570887212,0.43,382.89483704026384,382.89483704026384,2346.6051205245712,1273.4456136147533,220.51298182643205
0.56,350.29625146693127,0.44,384.47665327111145,384.47665327111145,2346.691595602936,1273.5404372154496,220.54498468075786
0.55,348.8580680566722,0.45,386.03560358586174,386.03560358586174,2346.780783885441,1273.6381814693711,220.5779986809183
0.54,347.40558026449304,0.46,387.57256565118377,387.57256565118377,2346.872872936586,1273.7390076015292,220.6120460669414
0.53,345.9383253315751,0.47,389.0883650543135,389.0883650543135,2346.9679744983787,1273.8430502865522,220.6471783949849
0.52,344.455816545641,0.48,390.5837794365476,390.5837794365476,2347.0663441373854,1273.9479304527854,220.6834989187428
0.51,342.9575415087003,0.49,392.05954221949776,392.05954221949776,2347.1679736263736,1274.0587793384555,220.72093877661675
0.5,341.44296024258745,0.5,393.51634597169925,393.51634597169925,2347.273107729699,1274.1733418299689,220.75965127825188
0.49,339.9115031135121,0.51,394.9548454567693,394.9548454567693,2347.381925281307,1274.2918053018254,220.79967750287508
0.48,338.3625685542263,0.52,396.37566039887747,396.37566039887747,2347.494633286903,1274.4143765565327,220.84108144397715
0.47,336.7955205593883,0.53,397.77937799666654,397.77937799666654,2347.611503196586,1274.5412977032724,220.8839436488451
0.46,335.20968592615884,0.54,399.1665552128106,399.1665552128106,2347.7326022558595,1274.6717553368044,220.92835906975392
0.45,333.60435120793056,0.55,400.53772086301126,400.53772086301126,2347.858317980819,1274.8070083075468,220.97434229836463
0.44,331.9787593442318,0.56,401.8933775253224,401.8933775253224,2347.988942934333,1274.9483174543457,221.0220436491807
0.43,330.33210592412206,0.57,403.2340032881836,403.2340032881836,2348.1246737561873,1275.0952174708996,221.07154225332457
0.42,328.6635350336344,0.58,404.56005335337494,404.56005335337494,2348.2658635323664,1275.247570481672,221.12295681780208
0.41,326.97213462979124,0.59,405.8719615082242,405.8719615082242,2348.412853666515,1275.4059471619094,221.1763365469198
0.4,325.25693137416494,0.6,407.17014147976323,407.17014147976323,2348.5659651613073,1275.5706933846393,221.23185994687
0.39,323.5168848475195,0.61,408.4549881821077,408.4549881821077,2348.7256115408018,1275.7422107233601,221.28965878580797
0.38,321.75088105334356,0.62,409.7268788670908,409.7268788670908,2348.8922480160404,1275.9209368267516,221.34982860588119
0.37,319.9577251015203,0.63,410.98617418709074,410.98617418709074,2349.066318879994,1276.1073252001256,221.4125393069675
0.36,318.1361329433112,0.64,412.23321917804043,412.23321917804043,2349.2483674883333,1276.3018936171636,221.47793466129053
0.35,316.28472200437596,0.65,413.4683441697658,413.4683441697658,2349.4388985621276,1276.5051686210095,221.54622786833775
0.34,314.402000532624,0.66,414.691865630059,414.691865630059,2349.6385262594245,1276.7177505760474,221.61759349155165
0.33,312.48635544084283,0.67,415.90408694824174,415.90408694824174,2349.8479564216063,1276.9403093550648,221.69226370666928
0.32,310.536038378428,0.68,417.10529916339334,417.10529916339334,2350.0679247030594,1277.1735618318137,221.77042243838216
0.31,308.5491497097092,0.69,418.2957816419073,418.2957816419073,2350.2992560106436,1277.4183009615012,221.8523433006774
0.3,306.5236200051189,0.7,419.4758027085868,419.4758027085868,2350.5428381539286,1277.6753901815366,221.93829961152116
0.29,304.45718856150586,0.71,420.6456202350802,420.6456202350802,2350.799675193074,1277.945787678272,222.028593387206
0.28,302.34737835352774,0.72,421.80548218910315,421.80548218910315,2351.0708954413617,1278.230561132112,222.12353541625896
0.27,300.19146667150335,0.73,422.9556271475674,422.9556271475674,2351.3577547065147,1278.5308926388461,222.22356228419378
0.26,297.9864505117419,0.74,424.09628477644975,424.09628477644975,2351.661591523469,1278.8480687529361,222.32900780080413
0.25,295.7290055385287,0.75,425.22767627997825,425.22767627997825,2351.9840719085255,1279.1835934268247,222.44033148252518
0.24,293.4154371121262,0.76,426.3500148214804,426.3500148214804,2352.326834747178,1279.5390489742283,222.5580924567424
0.23,291.0416214453347,0.77,427.4635059180293,427.4635059180293,2352.6920185371173,1279.9163318414094,222.68279548761382
0.22,288.6029343707928,0.78,428.56834781084024,428.56834781084024,2353.0818011080996,1280.3174727740652,222.81506116493338
0.21,286.0941644118698,0.79,429.6647318131976,429.6647318131976,2353.498821438594,1280.7448332064114,222.95566373578149
0.2,283.50940576262775,0.8,430.7528426375441,430.7528426375441,2353.9460330377838,1281.201064062274,223.1053090405904
0.19,280.84192526326524,0.81,431.832858703224,431.832858703224,2354.4268836724264,1281.6892068129703,223.26496133826492
