"Acetamide Molar Composition 
[%]","Acetamide Liquidus Temperature 
[K]","Monoethanolamine Molar Composition 
[%]","Monoethanolamine Liquidus Temperature 
[K]","Solid-Liquid Equilibrium Temperature 
[K]","Adiabatic Flame Temperature 
[K]","Characteristic Velocity 
[m/s]","Specific Impulse 
[s]"
0.56,288.73718535466946,0.44,248.60328347881244,288.73718535466946,2047.7374452927534,1184.813075388515,203.68587180682857
0.55,287.1304097458705,0.45,249.44291990216445,287.1304097458705,2045.932397237825,1184.3581459194415,203.60318189326657
0.54,285.5124249343349,0.46,250.26960543651,285.5124249343349,2044.1316756609842,1183.9041574625664,203.52067049129184
0.53,283.8828378726987,0.47,251.0838326355838,283.8828378726987,2042.3352986135858,1183.4511207043524,203.438338806238
0.52,282.2412354489711,0.48,251.8860651961828,282.2412354489711,2040.5432566318398,1182.9990336675287,203.356186271781
0.51,280.58718304490714,0.49,252.67674021466578,280.58718304490714,2038.7555402237224,1182.5478943551357,203.2742123246101
0.5,278.92022296017706,0.5,253.45627022464785,278.92022296017706,2036.9721398712254,1182.0977007664676,203.1924164032914
0.49,277.2398726868685,0.51,254.2250450410462,277.2398726868685,2035.193046029135,1181.6484508797603,203.1107979460368
0.48,275.54562301672127,0.52,254.98343343230485,275.54562301672127,2033.4182491265992,1181.2001426653937,203.02935638780684
0.47,273.83693596100903,0.53,255.7317846397958,273.83693596100903,2031.6477395672434,1180.7527740806863,202.94809115676318
0.46,272.1132424600875,0.54,256.47042976097543,272.1132424600875,2029.8814761833657,1180.3062813116103,202.86700014448766
0.45,270.3739398562389,0.55,257.19968301080337,270.3739398562389,2028.119512430319,1179.8607850778794,202.78608600311688
0.44,268.61838909947204,0.56,257.9198428741525,268.61838909947204,2026.3617807909968,1179.416210080531,202.70534487990983
0.43,266.84591165125835,0.57,258.6311931604036,266.84591165125835,2024.6083242735165,1178.9725788483627,202.62477956403006
0.42,265.0557860456571,0.58,259.3340039700945,265.0557860456571,2022.859080655638,1178.5298647362533,202.54438623301473
0.41,263.24724406073517,0.59,260.0285325823438,263.24724406073517,2021.1140665009514,1178.0880779325194,202.46416593338947
0.4,261.4194664453826,0.6,260.7150242707732,261.4194664453826,2019.3732720496848,1177.6472163250098,202.38411812902262
0.39,259.57157813730873,0.61,261.3937130547822,261.3937130547822,2017.6366875207498,1177.2072777922983,202.3042422425253
0.38,257.7026428968146,0.62,262.06482239227216,262.06482239227216,2015.9042773869062,1176.7682480864091,202.2245362911305
0.37,255.81165726745255,0.63,262.72856581925134,262.72856581925134,2014.1760577419855,1176.3301372438812,202.14500113912786
0.36,253.8975437583491,0.64,263.38514754117165,263.38514754117165,2012.452044280051,1175.8929551696733,202.06563787976197
0.35,251.95914312308665,0.65,264.03476298033604,264.03476298033604,2010.7321505311538,1175.4566635411127,201.9864414176042
0.34,249.99520558571788,0.66,264.6775992832641,264.6775992832641,2009.016443224337,1175.0212963625504,201.90741573310441
0.33,248.00438083456592,0.67,265.3138357915072,265.3138357915072,2007.3048616712747,1174.586827436455,201.82855722488625
0.32,245.98520656744978,0.68,265.9436444790511,265.9436444790511,2005.597421398036,1174.1532666115825,201.7498669241105
0.31,243.9360953258978,0.69,266.5671903591333,266.5671903591333,2003.8941124716564,1173.7206117034295,201.6713443274087
0.3,241.85531929819575,0.7,267.1846318630261,267.1846318630261,2002.1949249427894,1173.28886051999,201.5929887937822
0.29,239.74099269831115,0.71,267.7961211930889,267.7961211930889,2000.4998239637193,1172.8579990060525,201.5147984696429
0.28,237.5910512352423,0.72,268.40180465217594,268.40180465217594,1998.8088246208429,1172.4280368715174,201.43677417998308
0.27,235.4032280689167,0.73,269.00182295128866,269.00182295128866,1997.121892219392,1171.9989601064924,201.35891406997624
0.26,233.17502549588687,0.74,269.5963114971874,269.5963114971874,1995.4390416306326,1171.5707783520668,201.28121895213428
0.25,230.9036814089803,0.75,270.1854006615214,270.1854006615214,1993.7602628295251,1171.1434893880407,201.20368839257895
0.24,228.5861293133171,0.76,270.769216032895,270.769216032895,1992.0855457777309,1170.7170909887723,201.1263217475951
0.23,226.2189503334976,0.77,271.3478786531618,271.3478786531618,1990.4148560898814,1170.291569235188,201.04911724204104
0.22,223.79831518004477,0.78,271.921505239126,271.921505239126,1988.748183973533,1169.8669219776748,200.97207434669335
0.21,221.31991340910278,0.79,272.4902083907273,272.4902083907273,1987.0855679312199,1169.4431703273438,200.89519517958595
0.2,218.7788664368417,0.8,273.054096786694,273.054096786694,1985.4269254127353,1169.0202771395918,200.81847533923562
0.19,216.1696195524716,0.81,273.613275368566,273.613275368566,1983.7723187817844,1168.5982750704889,200.74191820629244
0.18,213.48580644879974,0.82,274.1678455139141,274.1678455139141,1982.1216898896303,1168.1771386850412,200.66552064197847
0.17,210.7200773042909,0.83,274.71790519951344,274.71790519951344,1980.475028884424,1167.7568658126806,200.5892822243146
0.16,207.8638778043933,0.84,275.2635491551682,275.2635491551682,1978.832349611601,1167.3374657771392,200.51320366311978
0.15,204.90716102982898,0.85,275.80486900882767,275.80486900882767,1977.1936419332362,1166.918936317344,200.4372844315867
0.14,201.83800577582983,0.86,276.34195342358373,276.34195342358373,1975.5588721707472,1166.5012637320758,200.36152285230136
0.13,198.64210172499844,0.87,276.8748882270928,276.8748882270928,1973.928030433056,1166.0844458377126,200.2859184448031
0.12,195.30204064724606,0.88,277.4037565339235,277.4037565339235,1972.3011908958092,1165.6689748555245,200.21047527900856
0.11,191.79631729885912,0.89,277.92863886129277,277.92863886129277,1970.678221198751,1165.25387606196,200.13518596045435
0.1,188.09788210748704,0.9,278.44961323861816,278.44961323861816,1969.0591262807882,1164.8396140456275,200.0600511968479
0.09,184.17197611962357,0.91,278.9667553112811,278.9667553112811,1967.443965770601,1164.4262206210365,199.98507398270624
0.08,179.97276570967543,0.92,279.4801384389682,279.4801384389682,1965.8326831986558,1164.0136708686373,199.9102513987539
0.07,175.4378622087948,0.93,279.98983378892956,279.98983378892956,1964.2252686299348,1163.601962595679,199.8355831126137
0.06,170.47886492407463,0.94,280.4959104244678,280.4959104244678,1962.6217121231166,1163.1910936039478,199.76106857239333
0.05,164.96378595694674,0.95,280.99843538895107,280.99843538895107,1961.0220264857421,1162.7810729003393,199.68670841149378
0.04,158.68099757126592,0.96,281.4974737856208,281.4974737856208,1959.4262015109114,1162.3718982076941,199.6125020867051
0.03,151.2542304597706,0.97,281.99308885344556,281.99308885344556,1957.8341818189817,1161.9635449463783,199.5384470819092
0.02,141.89414027623403,0.98,282.4853420392573,282.4853420392573,1956.2460027046852,1161.5560332443115,199.46454495866604
0.01,128.31925109990385,0.99,282.9742930663862,282.9742930663862,1954.6616539518766,1161.1493608263381,199.3907952557392
0.0,0.0,1.0,283.46,283.46,1953.081080677346,1160.7435032648953,199.31719541710453
