"Monoethanolamine Molar Composition 
[%]","Monoethanolamine Liquidus Temperature 
[K]","Imidazole Molar Composition 
[%]","Imidazole Liquidus Temperature 
[K]","Solid-Liquid Equilibrium Temperature 
[K]","Adiabatic Flame Temperature 
[K]","Characteristic Velocity 
[m/s]","Specific Impulse 
[s]"
0.38,243.2615820297631,0.62,325.99968805175547,325.99968805175547,2232.146279380378,1229.2196830276725,211.57141463057988
0.37,242.31446792490672,0.63,327.13469120808037,327.13469120808037,2235.967100971334,1230.136001619908,211.737302885577
0.36,241.34905255473132,0.64,328.2595636446931,328.2595636446931,2239.768502009907,1231.0470554085646,211.90234057165392
0.35,240.36442695908383,0.65,329.37457806542784,329.37457806542784,2243.5505975118544,1231.9528747098082,212.06653411138518
0.34,239.35960911918886,0.66,330.47999578990647,330.47999578990647,2247.3134402441315,1232.853464251036,212.2298847986712
0.33,238.3335357179134,0.67,331.57606739462403,331.57606739462403,2251.0571767444003,1233.748866782997,212.39240134680497
0.32,237.28505268781979,0.68,332.66303330889315,332.66303330889315,2254.7819542069233,1234.6391249991023,212.55409262394642
0.31,236.21290432444573,0.69,333.74112436944273,333.74112436944273,2258.487825769222,1235.5242432266905,212.7149595772097
0.3,235.11572069274504,0.7,334.81056233709796,334.81056233709796,2262.1749390647974,1236.4042639463157,212.87501090091558
0.29,233.992002992047,0.71,335.8715603786376,335.8715603786376,2265.8433788393977,1237.2792040025581,213.0342499813974
0.28,232.84010646522307,0.72,336.9243235166341,336.9243235166341,2269.4932933308887,1238.1491057191915,213.19268549216304
0.27,231.6582203355276,0.73,337.96904904981835,337.96904904981835,2273.124799395802,1239.013998561373,213.3503234249551
0.26,230.44434412231487,0.74,339.00592694627807,339.00592694627807,2276.7379820710635,1239.8738990810248,213.50716696865007
0.25,229.19625951419366,0.75,340.03514021158867,340.03514021158867,2280.3329262047614,1240.7288237089565,213.6632190224124
0.24,227.91149675066313,0.76,341.0568652337887,341.0568652337887,2283.9098449764024,1241.578840161238,213.8184939751712
0.23,226.58729416037377,0.77,342.07127210694034,342.07127210694034,2287.468759332598,1242.423939042122,213.97298899240204
0.22,225.22054909642603,0.78,343.0785249348671,343.0785249348671,2291.0098185071597,1243.2641622452313,214.12671262593534
0.21,223.80775795371198,0.79,344.0787821165201,344.0787821165201,2294.533107364253,1244.099525880987,214.27966757610105
0.2,222.3449421869123,0.8,345.07219661430435,345.07219661430435,2298.0388078145925,1244.9300846200872,214.43186542239226
0.19,220.8275561752949,0.81,346.05891620658156,346.05891620658156,2301.526972320147,1245.755841555245,214.58330573006157
0.18,219.2503712565128,0.82,347.0390837254678,347.0390837254678,2304.997750500599,1246.576838365761,214.73399701222223
0.17,217.60732804940656,0.83,348.0128372809496,348.0128372809496,2308.4512269190586,1247.393090878703,214.8839417663777
0.16,215.89134594405985,0.84,348.9803104722642,348.9803104722642,2311.887392910094,1248.20443423441,215.03313345021124
0.15,214.0940737664379,0.85,349.94163258740673,349.94163258740673,2315.3066788411757,1249.011303005134,215.1816071850526
0.14,212.20555813703075,0.86,350.8969287915672,350.8969287915672,2318.7089809920662,1249.813500176873,215.32934731909273
0.13,210.21379423344933,0.87,351.84632030523005,351.84632030523005,2322.094415860686,1250.6110542173813,215.47635926243598
0.12,208.10410449524426,0.88,352.7899245726181,352.7899245726181,2325.4631658541666,1251.404019445068,215.62265437113652
0.11,205.85825864344966,0.89,353.7278554211066,353.7278554211066,2328.815281479739,1252.1923983556644,215.76823167610752
