"Acetamide Molar Composition 
[%]","Acetamide Liquidus Temperature 
[K]","Ethylenediamine Molar Composition 
[%]","Ethylenediamine Liquidus Temperature 
[K]","Solid-Liquid Equilibrium Temperature 
[K]","Adiabatic Flame Temperature 
[K]","Characteristic Velocity 
[m/s]","Specific Impulse 
[s]"
0.75,317.5477682396106,0.25,247.11792027999778,317.5477682396106,2179.862497984283,1226.2252807820435,211.02007892423836
0.74,316.0985414314812,0.26,248.0335300822494,316.0985414314812,2181.749847051986,1227.01182165133,211.15572105517907
0.73,314.6430336643836,0.27,248.92100876341027,314.6430336643836,2183.621811816581,1227.7922136918194,211.2903133619831
0.72,313.1810683956936,0.28,249.78223764568122,313.1810683956936,2185.4786139029757,1228.5665425915456,211.4238707759094
0.71,311.71246252660626,0.29,250.6189099707287,311.71246252660626,2187.32037785492,1229.3348513480653,211.55639990931934
0.7,310.23702605794307,0.3,251.43255548624904,310.23702605794307,2189.1473816790767,1230.0972511381976,211.6879208164219
0.69,308.7545617226933,0.31,252.22456111305422,308.7545617226933,2190.9597127734005,1230.853769009948,211.81843696072448
0.68,307.26486459335285,0.32,252.99618842273102,307.26486459335285,2192.7576118593324,1231.6045001508778,211.94796520874772
0.67,305.76772166193206,0.33,253.74858850156008,305.76772166193206,2194.5412231560485,1232.3494972474305,212.07651420366213
0.66,304.26291139029064,0.34,254.48281465831067,304.26291139029064,2196.310719313124,1233.0888258107495,212.20409506129144
0.65,302.75020322821564,0.35,255.19983334240695,302.75020322821564,2198.0663012467057,1233.8225641329832,212.33072148901485
0.64,301.22935709639285,0.36,255.90053356804972,301.22935709639285,2199.8081050690234,1234.5507619845123,212.4564015444379
0.63,299.7001228311178,0.37,256.58573508426343,299.7001228311178,2201.5362953520225,1235.2734819782418,212.58114591786125
0.62,298.1622395872592,0.38,257.25619548689565,298.1622395872592,2203.2510340783506,1235.9907857964326,212.70496505758086
0.61,296.6154351956011,0.39,257.9126164336379,296.6154351956011,2207.6131122901684,1237.5698509110573,212.9842454813135
0.6,295.05942547026746,0.4,258.5556490951438,295.05942547026746,2209.255251454069,1238.2614433282697,213.10358219726092
0.59,293.49391346144347,0.41,259.1858989527653,293.49391346144347,2210.884546767746,1238.9480044772415,213.22203281106482
0.58,291.9185886480633,0.42,259.8039300351485,291.9185886480633,2212.5011489376398,1239.6294280377358,213.3396053480036
0.57,290.33312606451017,0.43,260.41026867103795,290.33312606451017,2214.1051451612248,1240.305743693804,213.45630399010994
0.56,288.73718535466946,0.44,261.0054068234334,288.73718535466946,2215.6967123251143,1240.9770212595145,213.57214090492994
0.55,287.1304097458705,0.45,261.58980506020197,287.1304097458705,2217.276024891322,1241.643329674645,213.68712849553998
0.54,285.5124249343349,0.46,262.16389520793655,285.5124249343349,2218.843194032088,1242.304709850704,213.80127308909695
0.53,283.8828378726987,0.47,262.728082728951,283.8828378726987,2220.3983593422004,1242.9612155422749,213.9145838552616
0.52,282.2412354489711,0.48,263.2827488555406,282.2412354489711,2221.9416582930126,1243.6128997303697,214.0270697955669
0.51,280.58718304490714,0.49,263.8282525108095,280.58718304490714,2223.4732262782272,1244.2598147095462,214.13873975475377
0.5,278.92022296017706,0.5,264.364932041308,278.92022296017706,2224.9932269022283,1244.9020253369324,214.2496054003896
0.49,277.2398726868685,0.51,264.89310678329394,277.2398726868685,2226.501730913384,1245.5395553719138,214.35966961623737
0.48,275.54562301672127,0.52,265.41307848152763,275.54562301672127,2227.99892818052,1246.1724818732305,214.46894658582218
0.47,273.83693596100903,0.53,265.9251325770404,273.83693596100903,2229.484885721771,1246.8008271625295,214.57745104075485
0.46,272.1132424600875,0.54,266.4295393782103,272.1132424600875,2230.959789393819,1247.4246668345097,214.6851608660315
0.45,270.3739398562389,0.55,266.9265551276742,270.3739398562389,2232.423732682294,1248.04403534485,214.79211742209839
0.44,268.61838909947204,0.56,267.4164229760595,268.61838909947204,2233.8768374275987,1248.6589799650562,214.89831670875802
0.43,266.84591165125835,0.57,267.89937387218373,267.89937387218373,2235.3191937159545,1249.2695339044765,215.00376641758186
0.42,265.0557860456571,0.58,268.37562737822395,268.37562737822395,2236.7510097022005,1249.875783366041,215.10847509208665
0.41,263.24724406073517,0.59,268.84539241735683,268.84539241735683,2238.1722821940025,1250.4777200685999,215.21244689853071
0.4,261.4194664453826,0.6,269.308867960511,269.308867960511,2239.58324559961,1251.0754422705286,215.31569811565487
0.39,259.57157813730873,0.61,269.7662436581175,269.7662436581175,2240.983893719676,1251.668940580108,215.41822505306118
0.38,257.7026428968146,0.62,270.21770042208954,270.21770042208954,2242.3744572889213,1252.2583119093345,215.52004614341863
0.37,255.81165726745255,0.63,270.66341096269053,270.66341096269053,2243.754927216751,1252.843545752026,215.62115777835692
0.36,253.8975437583491,0.64,271.1035402844437,271.1035402844437,2245.1254714105075,1253.424711205869,215.72157445132774
0.35,251.95914312308665,0.65,271.5382461447974,271.5382461447974,2246.486255846045,1254.0018765280656,215.82130299012294
0.34,249.99520558571788,0.66,271.9676794788731,271.9676794788731,2247.8372297510455,1254.5744331510484,215.92034393103586
0.33,248.00438083456592,0.67,272.39198479327507,272.39198479327507,2249.178689995541,1255.1436624266782,216.0187158053078
0.32,245.98520656744978,0.68,272.8113005316453,272.8113005316453,2250.5105835201016,1255.7089603377985,216.116413201166
0.31,243.9360953258978,0.69,273.2257594143733,273.2257594143733,2251.833070267139,1256.2703929483466,216.21344816077348
0.3,241.85531929819575,0.7,273.63548875463545,273.63548875463545,2253.1462496599415,1256.8279992683556,216.30983960396023
0.29,239.74099269831115,0.71,274.0406107527274,274.0406107527274,2254.450278365896,1257.381844148314,216.40556310324024
0.28,237.5910512352423,0.72,274.4412427704635,274.4412427704635,2255.7451356640026,1257.931912816509,216.50065064563316
0.27,235.4032280689167,0.73,274.83749758725105,274.83749758725105,2257.03097559044,1258.4782691432802,216.59510185047617
0.26,233.17502549588687,0.74,275.2294836392966,275.2294836392966,2258.3078921228202,1259.020950114839,216.68892301307244
0.25,230.9036814089803,0.75,275.6173052432676,275.6173052432676,2259.575977935715,1259.5599922293852,216.78212033297953
0.24,228.5861293133171,0.76,276.0010628056134,276.0010628056134,2260.8352662363486,1260.0954053176495,216.87469711448642
0.23,226.2189503334976,0.77,276.38085301864044,276.38085301864044,2262.085963623288,1260.6272773457106,216.96666262718412
0.22,223.79831518004477,0.78,276.7567690443408,276.7567690443408,2263.3281007165074,1261.1556171788086,217.05802499388614
0.21,221.31991340910278,0.79,277.1289006868863,277.1289006868863,2264.561707282777,1261.6804333608864,217.1487879651555
0.2,218.7788664368417,0.8,277.4973345546211,277.4973345546211,2265.7869857261535,1262.2018134301939,217.23895072719125
0.19,216.1696195524716,0.81,277.8621542123141,277.8621542123141,2267.0039056184114,1262.7197367178248,217.32852565300988
0.18,213.48580644879974,0.82,278.2234403243719,278.2234403243719,2268.2126090271126,1263.2342637554773,217.4175299197966
0.17,210.7200773042909,0.83,278.58127078964924,278.58127078964924,2269.4131789693,1263.7454274286092,217.50593563186405
0.16,207.8638778043933,0.84,278.9357208684485,278.9357208684485,2270.605697344727,1264.2532602018339,217.59378956140355
0.15,204.90716102982898,0.85,279.2868633022453,279.2868633022453,2271.790244954466,1264.757794130666,217.68106733153692
0.14,201.83800577582983,0.86,279.6347684266389,279.6347684266389,2272.9669015188547,1265.2590608594578,217.76777288710824
0.13,198.64210172499844,0.87,279.979504277985,279.979504277985,2274.135745695734,1265.7570916310253,217.85393503382167
0.12,195.30204064724606,0.88,280.3211366941314,280.3211366941314,2275.2967979965633,1266.2518915192677,217.93954169044434
0.11,191.79631729885912,0.89,280.65972940964787,280.65972940964787,2276.4501922876916,1266.743516835975,218.02460558841108
0.1,188.09788210748704,0.9,280.99534414590755,280.99534414590755,2277.5960610652587,1267.232023373593,218.10913115314017
0.09,184.17197611962357,0.91,281.32804069635364,281.32804069635364,2278.7343649752515,1267.7173893821825,218.19311865092865
0.08,179.97276570967543,0.92,281.6578770072578,281.6578770072578,2279.865234631039,1268.199669941928,218.27657644681742
0.07,175.4378622087948,0.93,281.9849092542559,281.9849092542559,2280.9886860184124,1268.6788684188432,218.3595040936821
0.06,170.47886492407463,0.94,282.30919191492353,282.30919191492353,2282.104904227291,1269.155064674015,218.44191745569645
0.05,164.96378595694674,0.95,282.63077783763765,282.63077783763765,2283.213846800739,1269.6282357880318,218.52381022934233
0.04,158.68099757126592,0.96,282.94971830695005,282.94971830695005,2284.315640237919,1270.0984352780133,217.74980307634257
0.03,151.2542304597706,0.97,283.2660631056852,283.2660631056852,2285.4103534829264,1270.565690714701,218.68608140724274
0.02,141.89414027623403,0.98,283.57986057395664,283.57986057395664,2286.498054592662,1271.0300293310936,218.76644574847342
0.01,128.31925109990385,0.99,283.89115766528704,283.89115766528704,2287.5788107514754,1271.4914780253202,218.846325408309
0.0,0.0,1.0,284.2,284.2,2288.6526322520376,1271.950038006194,218.9257078330867
