"Acetamide Molar Composition 
[%]","Acetamide Liquidus Temperature 
[K]","Imidazole Molar Composition 
[%]","Imidazole Liquidus Temperature 
[K]","Solid-Liquid Equilibrium Temperature 
[K]","Adiabatic Flame Temperature 
[K]","Characteristic Velocity 
[m/s]","Specific Impulse 
[s]"
0.5,278.92022296017706,0.5,311.47113348889263,311.47113348889263,2267.8647781491204,1237.9837904606477,213.23308766817902
0.49,277.2398726868685,0.51,312.7542552772795,312.7542552772795,2270.152180977927,1238.5235824371903,213.32994381960495
0.48,275.54562301672127,0.52,314.02276796968204,314.02276796968204,2272.4226716442113,1239.059132778543,213.42607551789223
0.47,273.83693596100903,0.53,315.2771548500396,315.2771548500396,2274.67644732975,1239.5904939317434,213.52149197036266
0.46,272.1132424600875,0.54,316.51787444544414,316.51787444544414,2276.913702701087,1240.117717646357,213.61620245718225
0.45,270.3739398562389,0.55,317.74536223025495,317.74536223025495,2279.1345960988474,1240.6408413854622,213.710212888284
0.44,268.61838909947204,0.56,318.96003218406315,318.96003218406315,2281.3392833943885,1241.1599019945963,213.80352914767695
0.43,266.84591165125835,0.57,320.1622782184236,320.1622782184236,2283.527985742554,1241.6749628430164,213.89616319286685
0.42,265.0557860456571,0.58,321.35247548551337,321.35247548551337,2285.7008542212675,1242.1860594794412,213.98812057096603
0.41,263.24724406073517,0.59,322.5309815803548,322.5309815803548,2287.858037547977,1242.6932268600146,214.07940681765623
0.4,261.4194664453826,0.6,323.6981376469141,323.6981376469141,2289.9997498576786,1243.19652642536,214.17003352033706
0.39,259.57157813730873,0.61,324.8542693972347,324.8542693972347,2292.1261014047773,1243.6959783780032,214.26000287357638
0.38,257.7026428968146,0.62,325.99968805175547,325.99968805175547,2294.2372679292766,1244.1916294236528,214.34932313037694
0.37,255.81165726745255,0.63,327.13469120808037,327.13469120808037,2296.333422963761,1244.6835256661632,214.4380024412698
0.36,253.8975437583491,0.64,328.2595636446931,328.2595636446931,2298.414737864259,1245.1717126136323,214.5260489185611
0.35,251.95914312308665,0.65,329.37457806542784,329.37457806542784,2300.4813479556383,1245.656221713958,214.6134673755291
0.34,249.99520558571788,0.66,330.47999578990647,330.47999578990647,2302.5334203260186,1246.1370973533838,214.7002656746102
0.33,248.00438083456592,0.67,331.57606739462403,331.57606739462403,2304.5710522034947,1246.6143564506085,214.78644533195038
0.32,245.98520656744978,0.68,332.66303330889315,332.66303330889315,2306.59447430733,1247.0880692029655,214.87202030707925
0.31,243.9360953258978,0.69,333.74112436944273,333.74112436944273,2308.603813670942,1247.5582648932207,214.95699501813368
0.3,241.85531929819575,0.7,334.81056233709796,334.81056233709796,2310.5990703294137,1248.0247813677743,215.04136204014532
0.29,239.74099269831115,0.71,335.8715603786376,335.8715603786376,2312.580615454694,1248.4880248973375,215.1251489449535
0.28,237.5910512352423,0.72,336.9243235166341,336.9243235166341,2314.548514821105,1248.947863001579,215.20835466890983
0.27,235.4032280689167,0.73,337.96904904981835,337.96904904981835,2316.5028876430974,1249.4043229655788,215.29098321859857
0.26,233.17502549588687,0.74,339.00592694627807,339.00592694627807,2318.443851253297,1249.8574316159766,215.37303853487504
0.25,230.9036814089803,0.75,340.03514021158867,340.03514021158867,2320.3715889033997,1250.307242008844,215.45453089814947
0.24,228.5861293133171,0.76,341.0568652337887,341.0568652337887,2322.2861803553055,1250.7537666660828,215.53546080749044
0.23,226.2189503334976,0.77,342.07127210694034,342.07127210694034,2324.187839109071,1251.1970709870768,215.61584168606066
0.22,223.79831518004477,0.78,343.0785249348671,343.0785249348671,2326.0766074678027,1251.6371532701578,215.69567059175472
0.21,221.31991340910278,0.79,344.0787821165201,344.0787821165201,2327.9526615182754,1252.0740646531249,215.77495749475537
0.2,218.7788664368417,0.8,345.07219661430435,345.07219661430435,2329.816141733699,1252.507842477019,215.85370907221187
0.19,216.1696195524716,0.81,346.05891620658156,346.05891620658156,2331.6671191378296,1252.9384970939002,215.93192535827103
0.18,213.48580644879974,0.82,347.0390837254678,347.0390837254678,2333.5057985739036,1253.3660915070734,216.0096194468291
0.17,210.7200773042909,0.83,348.0128372809496,348.0128372809496,2335.3322138751623,1253.7906219785243,216.0867878461698
0.16,207.8638778043933,0.84,348.9803104722642,348.9803104722642,2337.146566592148,1254.212150606198,216.16344359328824
0.15,204.90716102982898,0.85,349.94163258740673,349.94163258740673,2338.9489550621897,1254.6306993160113,216.23958965154873
0.14,201.83800577582983,0.86,350.8969287915672,350.8969287915672,2340.7394760504576,1255.046289653705,216.3152289068327
0.13,198.64210172499844,0.87,351.84632030523005,351.84632030523005,2342.518224773846,1255.4589427961457,216.39036417778436
0.12,195.30204064724606,0.88,352.7899245726181,352.7899245726181,2344.2853964578576,1255.8687190683002,216.465008273019
0.11,191.79631729885912,0.89,353.7278554211066,353.7278554211066,2346.041049411065,1256.2756256437447,216.5391604644981
0.1,188.09788210748704,0.9,354.66022321218884,354.66022321218884,2347.7852743149465,1256.679682542116,216.61282337503994
0.09,184.17197611962357,0.91,355.5871349845287,355.5871349845287,2349.5182280513773,1257.0809356970715,216.68600622301145
0.08,179.97276570967543,0.92,356.5086945895989,356.5086945895989,2351.2400321995333,1257.4794174797794,216.75871487074014
0.07,175.4378622087948,0.93,357.42500282036474,357.42500282036474,2352.95077308208,1257.875146760897,216.83095166079582
0.06,170.47886492407463,0.94,358.3361575334411,358.3361575334411,2354.6505018141956,1258.2681289905495,216.9027155785906
0.05,164.96378595694674,0.95,359.2422537651198,359.2422537651198,2356.339403385512,1258.6584216622355,216.97401896089826
0.04,158.68099757126592,0.96,360.14338384163676,360.14338384163676,2358.017593759395,1259.0460556616792,217.04486743963437
0.03,151.2542304597706,0.97,361.03963748402055,361.03963748402055,2359.6851199519115,1259.4310353924027,217.1152596958374
0.02,141.89414027623403,0.98,361.93110190784415,361.93110190784415,2361.3420952639076,1259.8133910852298,217.18520119975813
0.01,128.31925109990385,0.99,362.8178619181746,362.8178619181746,2362.9886316751035,1260.1931526118883,217.25469733136035
0.0,0.0,1.0,363.7,363.7,2364.624839861705,1260.570349491951,217.32375341137714
