"Urea Molar Composition 
[%]","Urea Liquidus Temperature 
[K]","Ethylenediamine Molar Composition 
[%]","Ethylenediamine Liquidus Temperature 
[K]","Solid-Liquid Equilibrium Temperature 
[K]","Adiabatic Flame Temperature 
[K]","Characteristic Velocity 
[m/s]","Specific Impulse 
[s]"
0.18,260.3471804493451,0.82,278.2234403243719,278.2234403243719,2252.679582354248,1260.5235564884185,216.88216416693814
0.17,257.2687202513992,0.83,278.58127078964924,278.58127078964924,2254.914294958927,1261.233166046196,217.00882179336662
0.16,254.0821485764927,0.84,278.9357208684485,278.9357208684485,2257.118254161938,1261.933045409413,217.1337764478931
0.15,250.77547192559945,0.85,279.2868633022453,279.2868633022453,2259.292014269668,1262.6233603166736,217.25706418056
0.14,247.33445032790686,0.86,279.6347684266389,279.6347684266389,2261.4362330889167,1263.304325957105,217.37869183844913
0.13,243.7419784016196,0.87,279.979504277985,279.979504277985,2263.5514928690322,1263.976125308697,217.4987297926886
0.12,239.97723263390407,0.88,280.3211366941314,280.3211366941314,2265.6383608163123,1264.6389366537521,217.61717027417913
0.11,236.01446853700907,0.89,280.65972940964787,280.65972940964787,2267.6973309967407,1265.2929070958637,217.7340695332633
0.1,231.82127681756864,0.9,280.99534414590755,280.99534414590755,2269.729000990229,1265.9382328244897,217.84945429703916
0.09,227.35597254253443,0.91,281.32804069635364,281.32804069635364,2271.7338956579288,1266.575078891361,217.96334477317532
0.08,222.56353317116356,0.92,281.6578770072578,281.6578770072578,2273.7125266192847,1267.2036062116686,218.07577719242173
0.07,217.36897688784575,0.93,281.9849092542559,281.9849092542559,2275.665335029507,1267.8239455361177,218.18677067189003
0.06,211.66592319619605,0.94,282.30919191492353,282.30919191492353,2277.5928653362885,1268.4362762743958,218.29635719456246
0.05,205.295306211525,0.95,282.63077783763765,282.63077783763765,2279.4955918299693,1269.040747677723,218.4045626815865
0.04,198.0016436738385,0.96,282.94971830695005,282.94971830695005,2281.3739201719095,1269.6374795335569,218.51140715968253
0.03,189.32974960207324,0.97,283.2660631056852,283.2660631056852,2283.228359023235,1270.2266399354455,218.6169205665815
0.02,178.32218520416288,0.98,283.57986057395664,283.57986057395664,2285.05934865018,1270.8083675024168,218.72112718931635
0.01,162.20096933658837,0.99,283.89115766528704,283.89115766528704,2286.8673186532446,1271.382797518783,218.82405042456188
0.0,0.0,1.0,284.2,284.2,2288.6526322520376,1271.9500366651039,218.9257078331429
