"Ethylenediamine Molar Composition 
[%]","Ethylenediamine Liquidus Temperature 
[K]","Monoethanolamine Molar Composition 
[%]","Monoethanolamine Liquidus Temperature 
[K]","Solid-Liquid Equilibrium Temperature 
[K]","Adiabatic Flame Temperature 
[K]","Characteristic Velocity 
[m/s]","Specific Impulse 
[s]"
0.25,247.11792027999778,0.75,270.1854006615214,270.1854006615214,2053.8351787397723,1193.980730376087,205.15098458448554
0.24,246.17208051407866,0.76,270.769216032895,270.769216032895,2050.056191136257,1192.7332519983822,204.93190698462564
0.23,245.19365892290966,0.77,271.3478786531618,271.3478786531618,2046.257240975715,1191.4793194323738,204.71171236503
0.22,244.18000749660428,0.78,271.921505239126,271.921505239126,2042.4382050382958,1190.218886436251,204.4903919127333
0.21,243.12812924517394,0.79,272.4902083907273,272.4902083907273,2038.5989351031544,1188.951894514496,204.26793503121235
0.2,242.03461290126396,0.8,273.054096786694,273.054096786694,2034.7393319119333,1187.6783081884203,204.0443343872283
0.19,240.89555142546328,0.81,273.613275368566,273.613275368566,2030.8592466277955,1186.398067971519,203.8195792772928
0.18,239.7064392025819,0.82,274.1678455139141,274.1678455139141,2026.9585790276064,1185.1111372774444,203.59366211436839
0.17,238.4620408195088,0.83,274.71790519951344,274.71790519951344,2023.03720390454,1183.8174672328432,203.3665735480012
0.16,237.15622136807588,0.84,275.2635491551682,275.2635491551682,2019.0949715408756,1182.5169968393216,203.13830265999738
0.15,235.78172377804654,0.85,275.80486900882767,275.80486900882767,2015.1317764613466,1181.2096508901789,202.908841420625
0.14,234.3298718463234,0.86,276.34195342358373,276.34195342358373,2011.1474759045093,1179.8954402017846,202.67817875697912
0.13,232.7901668154793,0.87,276.8748882270928,276.8748882270928,2007.1419636060161,1178.574289659721,202.4463063798992
0.12,231.14972775447512,0.88,277.4037565339235,277.4037565339235,2003.1151124668486,1177.2461475885846,202.21321444491196
0.11,229.3924963826046,0.89,277.92863886129277,277.92863886129277,1999.0667713975272,1175.9109502505335,201.97889151933683
0.1,227.49807522373564,0.9,278.44961323861816,278.44961323861816,1994.9968363835703,1174.56865625458,201.7433289827426
0.09,225.4399734294856,0.91,278.9667553112811,278.9667553112811,1990.9051792146204,1173.2192120616241,201.50651660292613
0.08,223.18285262008837,0.92,279.4801384389682,279.4801384389682,1986.791648021829,1171.862552131105,201.2684426741392
0.07,220.67799215017988,0.93,279.98983378892956,279.98983378892956,1982.6561373714,1170.4986330405395,201.02909813082445
0.06,217.85536804285132,0.94,280.4959104244678,280.4959104244678,1978.4985179525079,1169.12739927291,200.7884723656776
0.05,214.60872919011203,0.95,280.99843538895107,280.99843538895107,1974.3186371410056,1167.7487833725424,200.54655341057446
0.04,210.76449803094206,0.96,281.4974737856208,281.4974737856208,1970.116448036708,1166.3632161358018,200.30333507351148
0.03,206.00706498961617,0.97,281.99308885344556,281.99308885344556,1965.8916983053484,1164.9696703480015,200.05879953817532
0.02,199.65526687565674,0.98,282.4853420392573,282.4853420392573,1961.644296584428,1163.5685701862528,199.81293797926307
0.01,189.65851548365129,0.99,282.9742930663862,282.9742930663862,1957.3741570094135,1162.1598788859712,199.56574147979006
0.0,0.0,1.0,283.46,283.46,1953.081080677346,1160.7435032648953,199.31719541710453
