"Acetamide Molar Composition 
[%]","Acetamide Liquidus Temperature 
[K]","Urea Molar Composition 
[%]","Urea Liquidus Temperature 
[K]","Solid-Liquid Equilibrium Temperature 
[K]","Adiabatic Flame Temperature 
[K]","Characteristic Velocity 
[m/s]","Specific Impulse 
[s]"
0.68,307.26486459335285,0.32,296.0006545278421,307.26486459335285,2062.4822149981333,1187.6720573600412,204.23287275059695
0.67,305.76772166193206,0.33,298.1846025665435,305.76772166193206,2060.139261323341,1187.0651473023902,204.12324832208338
0.66,304.26291139029064,0.34,300.3343686245975,304.26291139029064,2057.7734693118696,1186.452113379622,204.01253359790937
0.65,302.75020322821564,0.35,302.45168553492135,302.75020322821564,2055.384517582141,1185.8328857210577,203.90071253382953
0.64,301.22935709639285,0.36,304.5381528936253,304.5381528936253,2052.9720789932085,1185.2073722296984,203.78776851352305
0.63,299.7001228311178,0.37,306.59525071983,306.59525071983,2050.53582052127,1184.5754789883988,203.67368455995017
0.62,298.1622395872592,0.38,308.62435138467976,308.62435138467976,2048.0754031333418,1183.9371102173213,203.5584433360297
0.61,296.6154351956011,0.39,310.62673006848684,310.62673006848684,2045.5904816568664,1183.2921682210672,203.4420271495463
0.6,295.05942547026746,0.4,312.6035739605811,312.6035739605811,2043.0806700843295,1182.6405374927967,203.32441887358578
0.59,293.49391346144347,0.41,314.5559903805969,314.5559903805969,2040.5456796491133,1181.9821480328606,203.20559538953165
0.58,291.9185886480633,0.42,316.4850139707931,316.4850139707931,2037.9851114258167,1181.3168803043054,203.085544816429
0.57,290.33312606451017,0.43,318.3916130851979,318.3916130851979,2035.398559645381,1180.6446124855252,202.9642427243594
0.56,288.73718535466946,0.44,320.27669548181797,320.27669548181797,2032.785710486197,1179.965217445494,202.84167414047337
0.55,287.1304097458705,0.45,322.141113408006,322.141113408006,2030.1461546298958,1179.2786697005902,202.71781661337127
0.54,285.5124249343349,0.46,323.98566815570166,323.98566815570166,2027.4794602078264,1178.584791166483,202.5926478023027
0.53,283.8828378726987,0.47,325.81111415210745,325.81111415210745,2024.7852973694494,1177.883499212501,202.46615116001598
0.52,282.2412354489711,0.48,327.61816264203367,327.61816264203367,2022.063224533725,1177.174660522883,202.33830313606956
0.51,280.58718304490714,0.49,329.40748501031516,329.40748501031516,2019.312792366968,1176.4581391334723,202.2090800535611
0.5,278.92022296017706,0.5,331.1797157860944,331.1797157860944,2016.5336482889684,1175.733845268847,202.07846396607954
0.49,277.2398726868685,0.51,332.93545536517615,332.93545536517615,2013.7253272046341,1175.00163786699,201.94642997432302
0.48,275.54562301672127,0.52,334.6752724819119,334.6752724819119,2010.8873906902015,1174.26138940351,201.81295495329422
0.47,273.83693596100903,0.53,336.39970645802384,336.39970645802384,2008.0193919727385,1173.5129696014749,201.67801525443724
0.46,272.1132424600875,0.54,338.109269252321,338.109269252321,2005.1208757393522,1172.7562453596827,201.54158668766937
0.45,270.3739398562389,0.55,339.8044473322921,339.8044473322921,2002.191377941155,1171.9910806749415,201.40364449326094
0.44,268.61838909947204,0.56,341.4857033860074,341.4857033860074,1999.2304605941576,1171.2173531222763,201.26416543105168
0.43,266.84591165125835,0.57,343.15347789056005,343.15347789056005,1996.237571576419,1170.4348875516566,201.1231197695156
0.42,265.0557860456571,0.58,344.80819055137255,344.80819055137255,1993.2122894131812,1169.643571925413,200.98048482179053
0.41,263.24724406073517,0.59,346.4502416250414,346.4502416250414,1990.154043002214,1168.8432245143395,200.83623888699003
0.4,261.4194664453826,0.6,348.08001313695564,348.08001313695564,1987.0623915342694,1168.0337268724038,200.6903309664453
0.39,259.57157813730873,0.61,349.697870003673,349.697870003673,1983.9367790867161,1167.2149071043477,200.54276704254596
0.38,257.7026428968146,0.62,351.3041610689405,351.3041610689405,1980.776709534898,1166.3866232701062,200.39348402175008
0.37,255.81165726745255,0.63,352.89922006128967,352.89922006128967,1977.581571117105,1165.5486793350926,200.24247557537447
0.36,253.8975437583491,0.64,354.4833664802914,354.4833664802914,1974.350881467923,1164.700942845941,200.08970603331167
0.35,251.95914312308665,0.65,356.0569064178179,356.0569064178179,1971.084101929796,1163.843703319684,199.93514594874424
0.34,249.99520558571788,0.66,357.6201333200029,357.6201333200029,1967.7805365316833,1162.9758211960348,199.77875688091544
0.33,248.00438083456592,0.67,359.173328695015,359.173328695015,1964.439660334779,1162.097607759747,199.62050975502672
0.32,245.98520656744978,0.68,360.71676277125067,360.71676277125067,1961.0609101690109,1161.2088977983592,199.46037290186212
0.31,243.9360953258978,0.69,362.2506951100951,362.2506951100951,1957.6436057497503,1160.309470540998,199.29831780013438
0.3,241.85531929819575,0.7,363.7753751770015,363.7753751770015,1954.1872292548892,1159.3991862458129,199.13428816437323
0.29,239.74099269831115,0.71,365.2910428742786,365.2910428742786,1950.691040310279,1158.4777977948522,198.96826976279004
0.28,237.5910512352423,0.72,366.7979290386569,366.7979290386569,1947.1544253629047,1157.5452234967636,198.80022236858724
0.27,235.4032280689167,0.73,368.29625590641757,368.29625590641757,1943.5767573704006,1156.6010683190493,198.630099899752
0.26,233.17502549588687,0.74,369.7862375486169,369.7862375486169,1939.957360604411,1155.6452272093557,198.45787313437432
0.25,230.9036814089803,0.75,371.26808027870345,371.26808027870345,1936.2954756811716,1154.677449849749,198.2834968129718
0.24,228.5861293133171,0.76,372.7419830346269,372.7419830346269,1932.590468082921,1153.697549836941,198.1069335370818
0.23,226.2189503334976,0.77,374.2081377373476,374.2081377373476,1928.841584063407,1152.7052831772953,197.92814033328838
0.22,223.79831518004477,0.78,375.66672962749277,375.66672962749277,1925.0481241695284,1151.7004349369447,197.74707626690588
0.21,221.31991340910278,0.79,377.11793758175423,377.11793758175423,1921.2093039863496,1150.682749355724,197.56369619639003
0.2,218.7788664368417,0.8,378.5619344104879,378.5619344104879,1917.3243578678323,1149.6519819449802,197.37795555078836
0.19,216.1696195524716,0.81,379.9988871378531,379.9988871378531,1913.3925382372468,1148.6078994693714,197.1898096079578
0.18,213.48580644879974,0.82,381.4289572657185,381.4289572657185,1909.412994436385,1147.550218215584,196.9992095365335
0.17,210.7200773042909,0.83,382.85230102246277,382.85230102246277,1905.384961904942,1146.478700477815,196.8061088035656
0.16,207.8638778043933,0.84,384.2690695977053,384.2690695977053,1901.3075894101853,1145.3932077120871,196.61045864582547
0.15,204.90716102982898,0.85,385.6794093639211,385.6794093639211,1897.1800247215278,1144.293174746883,196.41220503249914
0.14,201.83800577582983,0.86,387.0834620858189,387.0834620858189,1893.0013798520447,1143.1784523928663,196.2112967428788
0.13,198.64210172499844,0.87,388.4813651182913,388.4813651182913,1888.770781738109,1142.04875590182,196.00768050599757
0.12,195.30204064724606,0.88,389.87325159368714,389.87325159368714,1884.4873204301791,1140.90378365254,195.8013011267871
0.11,191.79631729885912,0.89,391.25925059909423,391.25925059909423,1880.1500656622738,1139.7432257097348,195.59210187873575
0.1,188.09788210748704,0.9,392.63948734427385,392.63948734427385,1875.7580662831524,1138.5667635318534,195.38002445194454
0.09,184.17197611962357,0.91,394.0140833208374,394.0140833208374,1871.3103496665556,1137.3740696562813,195.16500890137948
0.08,179.97276570967543,0.92,395.38315645321296,395.38315645321296,1866.805963094979,1136.1654582644653,194.94699412599203
0.07,175.4378622087948,0.93,396.7468212419109,396.7468212419109,1862.2438040307968,1134.9393775548992,194.7259168594475
0.06,170.47886492407463,0.94,398.1051888995586,398.1051888995586,1857.62287477895,1133.6959066726579,194.50171000939997
0.05,164.96378595694674,0.95,399.45836748014415,399.45836748014415,1852.9421104738694,1132.4347980502077,194.27430776239635
0.04,158.68099757126592,0.96,400.8064620018736,400.8064620018736,1848.2004214774176,1131.1556758626323,194.0436411037125
0.03,151.2542304597706,0.97,402.1495745640237,402.1495745640237,1843.3967089927896,1129.8581601407416,193.80963927331862
0.02,141.89414027623403,0.98,403.48780445813867,403.48780445813867,1838.529798835067,1128.541833051408,193.5722286374945
0.01,128.31925109990385,0.99,404.8212482739041,404.8212482739041,1833.5985389546765,1127.2062913012116,193.33133413194662
0.0,0.0,1.0,406.15,406.15,1828.6017490721124,1125.851120962806,193.08687839376256
