"Ethylenediamine Molar Composition 
[%]","Ethylenediamine Liquidus Temperature 
[K]","Imidazole Molar Composition 
[%]","Imidazole Liquidus Temperature 
[K]","Solid-Liquid Equilibrium Temperature 
[K]","Adiabatic Flame Temperature 
[K]","Characteristic Velocity 
[m/s]","Specific Impulse 
[s]"
0.27,248.92100876341027,0.73,337.96904904981835,337.96904904981835,2343.9402061037654,1263.7300527439459,217.76379096673858
0.26,248.0335300822494,0.74,339.00592694627807,339.00592694627807,2344.703393561733,1263.614223141166,217.74759059453044
0.25,247.11792027999778,0.75,340.03514021158867,340.03514021158867,2345.466821217734,1263.4983186537927,217.73138654583386
0.24,246.17208051407866,0.76,341.0568652337887,341.0568652337887,2346.230421052539,1263.3823107855385,217.7151720097692
0.23,245.19365892290966,0.77,342.07127210694034,342.07127210694034,2346.9942541588307,1263.266222914496,217.6989527593624
0.22,244.18000749660428,0.78,343.0785249348671,343.0785249348671,2347.758317261126,1263.1500525107947,217.68272815273525
0.21,243.12812924517394,0.79,344.0787821165201,344.0787821165201,2348.5225421234204,1263.0337711029317,217.6664913645494
0.2,242.03461290126396,0.8,345.07219661430435,345.07219661430435,2349.2869903391197,1262.917402125864,217.65024807270893
0.19,240.89555142546328,0.81,346.05891620658156,346.05891620658156,2350.0516587825355,1262.800943090821,217.63399772070562
0.18,239.7064392025819,0.82,347.0390837254678,347.0390837254678,2350.816479014149,1262.6843655541734,217.61773328185475
0.17,238.4620408195088,0.83,348.0128372809496,348.0128372809496,2351.5815786318685,1262.5677189786275,217.60146712702118
0.16,237.15622136807588,0.84,348.9803104722642,348.9803104722642,2352.3468894283537,1262.4509749564695,217.58519214419007
0.15,235.78172377804654,0.85,349.94163258740673,349.94163258740673,2353.1124742300503,1262.3341570296466,217.56891439056258
0.14,234.3298718463234,0.86,350.8969287915672,350.8969287915672,2353.878198863948,1262.2172108305497,217.55262004341887
0.13,232.7901668154793,0.87,351.84632030523005,351.84632030523005,2354.644258096056,1262.1002118966812,217.53632835403832
0.12,231.14972775447512,0.88,352.7899245726181,352.7899245726181,2355.4104516751554,1261.9830798975406,217.5200189782269
0.11,229.3924963826046,0.89,353.7278554211066,353.7278554211066,2356.1769090149696,1261.8658644323461,217.50370441415677
0.1,227.49807522373564,0.9,354.66022321218884,354.66022321218884,2356.9436279062484,1261.7485631532743,217.48738422855834
0.09,225.4399734294856,0.91,355.5871349845287,355.5871349845287,2357.710606213431,1261.6311737273538,217.4710578212991
0.08,223.18285262008837,0.92,356.5086945895989,356.5086945895989,2358.477775305447,1261.5136678373403,217.45471785075935
0.07,220.67799215017988,0.93,357.42500282036474,357.42500282036474,2359.245266224037,1261.3960951841098,217.4383773372874
0.06,217.85536804285132,0.94,358.3361575334411,358.3361575334411,2360.012943805634,1261.2784014710337,217.42202208672205
0.05,214.60872919011203,0.95,359.2422537651198,359.2422537651198,2360.780939743578,1261.1606364469974,217.40566517370704
0.04,210.76449803094206,0.96,360.14338384163676,360.14338384163676,2361.549185618754,1261.042771851698,217.38929914585148
0.03,206.00706498961617,0.97,361.03963748402055,361.03963748402055,2362.317679795959,1260.924805448626,217.37292349227124
0.02,199.65526687565674,0.98,361.93110190784415,361.93110190784415,2363.0864207341883,1260.8067350174904,217.35653761597626
0.01,189.65851548365129,0.99,362.8178619181746,362.8178619181746,2363.855474414313,1260.688584380362,217.34014778334569
0.0,0.0,1.0,363.7,363.7,2364.624839861705,1260.5703513616675,217.32375341121764
