"Urea Molar Composition 
[%]","Urea Liquidus Temperature 
[K]","Monoethanolamine Molar Composition 
[%]","Monoethanolamine Liquidus Temperature 
[K]","Solid-Liquid Equilibrium Temperature 
[K]","Adiabatic Flame Temperature 
[K]","Characteristic Velocity 
[m/s]","Specific Impulse 
[s]"
0.65,356.0569064178179,0.35,240.36442695908383,356.0569064178179,1891.966595224686,1143.7196472718965,196.27883671105275
0.64,354.4833664802914,0.36,241.34905255473132,354.4833664802914,1893.3252318185137,1144.1001638872115,196.3467726208604
0.63,352.89922006128967,0.37,242.31446792490672,352.89922006128967,1894.665138139822,1144.4753370032745,196.41375282448897
0.62,351.3041610689405,0.38,243.2615820297631,351.3041610689405,1895.9866975715263,1144.8452786291323,196.47979748056542
0.61,349.697870003673,0.39,244.19123798147209,349.697870003673,1897.2902831636707,1145.2100976717745,196.54492607335408
0.6,348.08001313695564,0.4,245.10421937726701,348.08001313695564,1898.5762579778307,1145.5699000410684,196.6091574267397
0.59,346.4502416250414,0.41,246.00125588086865,346.4502416250414,1899.8449476798387,1145.9247743252217,196.672509294131
0.58,344.80819055137255,0.42,246.88302815757447,344.80819055137255,1901.096724286343,1146.2748353225093,196.73500034076275
0.57,343.15347789056005,0.43,247.75017225140053,343.15347789056005,1902.3319228266948,1146.6201805526118,196.7966480218597
0.56,341.4857033860074,0.44,248.60328347881244,341.4857033860074,1903.5508421692164,1146.9608907139434,196.85746857771838
0.55,339.8044473322921,0.45,249.44291990216445,339.8044473322921,1904.7538277746348,1147.2970725451285,196.91747926865762
0.54,338.109269252321,0.46,250.26960543651,338.109269252321,1905.9411892847445,1147.628815988931,196.97669627162222
0.53,336.39970645802384,0.47,251.0838326355838,336.39970645802384,1907.1132013079975,1147.956048179813,197.03513271470982
0.52,334.6752724819119,0.48,251.8860651961828,334.6752724819119,1908.2701851989032,1148.279160258375,197.09280794016686
0.51,332.93545536517615,0.49,252.67674021466578,332.93545536517615,1909.4124275628085,1148.5980900682146,197.14973539542677
0.5,331.1797157860944,0.5,253.45627022464785,331.1797157860944,1910.5402078038885,1148.9129185605404,197.2059293419144
0.49,329.40748501031516,0.51,254.2250450410462,329.40748501031516,1911.6537716553344,1149.2237108859915,197.26140307053748
0.48,327.61816264203367,0.52,254.98343343230485,327.61816264203367,1912.75338508888,1149.5305441213538,197.316170353826
0.47,325.81111415210745,0.53,255.7317846397958,325.81111415210745,1913.8393340108146,1149.8335069986667,197.3702454320392
0.46,323.98566815570166,0.54,256.47042976097543,323.98566815570166,1914.9118711778942,1150.1326725691333,197.42364151754694
0.45,322.141113408006,0.55,257.19968301080337,322.141113408006,1915.9712168953054,1150.4280985979533,197.47637025044443
0.44,320.27669548181797,0.56,257.9198428741525,320.27669548181797,1917.0176382747034,1150.7198681475136,197.5284451624355
0.43,318.3916130851979,0.57,258.6311931604036,318.3916130851979,1918.0513440488792,1151.0080356344179,197.57987723440817
0.42,316.4850139707931,0.58,259.3340039700945,316.4850139707931,1919.0725897092389,1151.2926806196383,197.63067948565785
0.41,314.5559903805969,0.59,260.0285325823438,314.5559903805969,1920.0815990006229,1151.5738675917078,197.68086328784193
0.4,312.6035739605811,0.6,260.7150242707732,312.6035739605811,1921.0785387781377,1151.8516331751014,197.73043794511688
0.39,310.62673006848684,0.61,261.3937130547822,310.62673006848684,1922.063700036043,1152.1260784254864,197.77941753896667
0.38,308.62435138467976,0.62,262.06482239227216,308.62435138467976,1923.0372395939605,1152.3972370476454,197.8278106042656
0.37,306.59525071983,0.63,262.72856581925134,306.59525071983,1923.9993612137532,1152.665167745462,197.87562780860733
0.36,304.5381528936253,0.64,263.38514754117165,304.5381528936253,1924.9502639479083,1152.9299278398596,197.92287922838568
0.35,302.45168553492135,0.65,264.03476298033604,302.45168553492135,1925.8901675930458,1153.1915861579425,197.96957589542345
0.34,300.3343686245975,0.66,264.6775992832641,300.3343686245975,1926.8192619010847,1153.450197195976,198.01572759757389
0.33,298.1846025665435,0.67,265.3138357915072,298.1846025665435,1927.7377071792275,1153.7058014499212,198.0613427592256
0.32,296.0006545278421,0.68,265.9436444790511,296.0006545278421,1930.74597737324,1154.6391837225617,198.22763979400298
0.31,293.7806427339774,0.69,266.5671903591333,293.7806427339774,1931.5775695869909,1154.867463373319,198.2683872924228
0.3,291.52251833569096,0.7,267.1846318630261,291.52251833569096,1932.399103919565,1155.0929164489544,198.3086292815359
0.29,289.2240443767783,0.71,267.7961211930889,289.2240443767783,1933.2107245402442,1155.3155787223966,198.34837325168593
0.28,286.8827712811383,0.72,268.40180465217594,286.8827712811383,1934.012621506191,1155.5355099810197,198.38762886311767
0.27,284.4960081352494,0.73,269.00182295128866,284.4960081352494,1934.8049317887126,1155.7527439600806,198.4264031399376
0.26,282.0607888586917,0.74,269.5963114971874,282.0607888586917,1935.587813632873,1155.9673259153203,198.46470423527498
0.25,279.5738321162111,0.75,270.1854006615214,279.5738321162111,1936.3614218394468,1156.1793001018968,198.50253996688653
0.24,277.0314935103299,0.76,270.769216032895,277.0314935103299,1937.1259321389546,1156.3887220238641,198.53991923109254
0.23,274.4297081756961,0.77,271.3478786531618,274.4297081756961,1937.881468264799,1156.5956216818145,198.57684839750047
0.22,271.763921335168,0.78,271.921505239126,271.921505239126,1938.6281752326884,1156.800040486043,198.6133348832268
0.21,269.02900361488435,0.79,272.4902083907273,272.4902083907273,1939.3662189895815,1157.0020310178031,198.6493869078085
0.2,266.2191468655334,0.8,273.054096786694,273.054096786694,1940.0956903250442,1157.2016087315494,198.6850096064493
0.19,263.32773477118377,0.81,273.613275368566,273.613275368566,1940.8167731852109,1157.3988365004204,198.72021181144373
0.18,260.3471804493451,0.82,274.1678455139141,274.1678455139141,1941.5295766859138,1157.5937402230948,198.7549992997604
0.17,257.2687202513992,0.83,274.71790519951344,274.71790519951344,1942.2342311857294,1157.7863570586653,198.7893787036822
0.16,254.0821485764927,0.84,275.2635491551682,275.2635491551682,1942.9308643367297,1157.9767233836487,198.82335647286826
0.15,250.77547192559945,0.85,275.80486900882767,275.80486900882767,1943.6196246705276,1158.1648865745062,198.85694002340654
0.14,247.33445032790686,0.86,276.34195342358373,276.34195342358373,1944.3005875178678,1158.3508579225677,198.89013350502344
0.13,243.7419784016196,0.87,276.8748882270928,276.8748882270928,1944.973919772307,1158.5346950525393,198.92294504978105
0.12,239.97723263390407,0.88,277.4037565339235,277.4037565339235,1945.6397154207289,1158.7164196430929,198.95537954669553
0.11,236.01446853700907,0.89,277.92863886129277,277.92863886129277,1946.2980663977355,1158.8960528722207,198.98744183468233
0.1,231.82127681756864,0.9,278.44961323861816,278.44961323861816,1946.9491319693188,1159.0736500165804,199.01913974851777
0.09,227.35597254253443,0.91,278.9667553112811,278.9667553112811,1947.5929994092191,1159.2492308881356,199.0504777886983
0.08,222.56353317116356,0.92,279.4801384389682,279.4801384389682,1948.2297770570908,1159.4228262791182,199.08146144860387
0.07,217.36897688784575,0.93,279.98983378892956,279.98983378892956,1948.8595711024627,1159.5944663657306,199.1120961069183
0.06,211.66592319619605,0.94,280.4959104244678,280.4959104244678,1949.4824856375371,1159.7641807167715,199.14238703355983
0.05,205.295306211525,0.95,280.99843538895107,280.99843538895107,1950.0986454237993,1159.9320096065169,199.17234044118385
0.04,198.0016436738385,0.96,281.4974737856208,281.4974737856208,1950.708105003731,1160.0979588085083,199.20195932346596
0.03,189.32974960207324,0.97,281.99308885344556,281.99308885344556,1951.3109852731047,1160.262067504284,199.2312496596577
0.02,178.32218520416288,0.98,282.4853420392573,282.4853420392573,1951.9073824341406,1160.4242576604618,199.2602151956663
0.01,162.20096933658837,0.99,282.9742930663862,282.9742930663862,1952.497390834099,1160.5847660981242,199.2888629232623
0.0,0.0,1.0,283.46,283.46,1953.081080677346,1160.7435032648953,199.31719541710453
