"Urea Molar Composition 
[%]","Urea Liquidus Temperature 
[K]","Imidazole Molar Composition 
[%]","Imidazole Liquidus Temperature 
[K]","Solid-Liquid Equilibrium Temperature 
[K]","Adiabatic Flame Temperature 
[K]","Characteristic Velocity 
[m/s]","Specific Impulse 
[s]"
0.22,271.763921335168,0.78,343.0785249348671,343.0785249348671,2310.570847737286,1247.5316735869314,214.9096415883281
0.21,269.02900361488435,0.79,344.0787821165201,344.0787821165201,2313.391758599698,1248.2161252032631,215.03551055285473
0.2,266.2191468655334,0.8,345.07219661430435,345.07219661430435,2316.17318179736,1248.8905925764227,215.1596290535922
0.19,263.32773477118377,0.81,346.05891620658156,346.05891620658156,2318.9159252277796,1249.5552825133568,215.28203239818654
0.18,260.3471804493451,0.82,347.0390837254678,347.0390837254678,2321.6208460903076,1250.2104240910749,215.4027616390513
0.17,257.2687202513992,0.83,348.0128372809496,348.0128372809496,2324.2886377434916,1250.8561848547706,215.5218434032789
0.16,254.0821485764927,0.84,348.9803104722642,348.9803104722642,2326.920080005759,1251.492769057258,215.63931343209785
0.15,250.77547192559945,0.85,349.94163258740673,349.94163258740673,2329.515967740671,1252.1203894021437,215.75521013092026
0.14,247.33445032790686,0.86,350.8969287915672,350.8969287915672,2332.0768999958154,1252.7391845122193,215.8695539301642
0.13,243.7419784016196,0.87,351.84632030523005,351.84632030523005,2334.6036688366303,1253.349370974031,215.982384870281
0.12,239.97723263390407,0.88,352.7899245726181,352.7899245726181,2337.096907274343,1253.9511055625157,216.09372854087002
0.11,236.01446853700907,0.89,353.7278554211066,353.7278554211066,2339.557266156397,1254.544554351125,216.20361317947518
0.1,231.82127681756864,0.9,354.66022321218884,354.66022321218884,2341.9854142025465,1255.1298925808317,216.31206966541043
0.09,227.35597254253443,0.91,355.5871349845287,355.5871349845287,2344.381968708103,1255.7072775931047,216.41912472607802
0.08,222.56353317116356,0.92,356.5086945895989,356.5086945895989,2346.747531110806,1256.2768626460963,216.5248043819317
0.07,217.36897688784575,0.93,357.42500282036474,357.42500282036474,2349.082687477198,1256.8387970346434,216.6291339634789
0.06,211.66592319619605,0.94,358.3361575334411,358.3361575334411,2351.3880433319046,1257.3932395353136,216.7321415328579
0.05,205.295306211525,0.95,359.2422537651198,359.2422537651198,2353.6641550937534,1257.9403317324918,216.83385109948756
0.04,198.0016436738385,0.96,360.14338384163676,360.14338384163676,2355.9115651715542,1258.4802116063663,216.93428604219733
0.03,189.32974960207324,0.97,361.03963748402055,361.03963748402055,2358.1308364506704,1259.0130268025177,217.03347252692268
0.02,178.32218520416288,0.98,361.93110190784415,361.93110190784415,2360.3224163428645,1259.5388820343283,217.13142592937703
0.01,162.20096933658837,0.99,362.8178619181746,362.8178619181746,2362.48690960178,1260.0579444443229,217.22817806859408
0.0,0.0,1.0,363.7,363.7,2364.624839861705,1260.5703513616675,217.32375341121764
